ايميل الشريك,اسم المقهى,نوع الفعالية,نوع الأدب,المنطقة الادراية,المدينة,تصنيف المبادرة,عنوان الفعالية,وصف الفعالية,تاريخ البداية,وقت البداية,تاريخ النهاية,وقت النهاية,اسم الضيف,التوثيق
brewhemiancoffee@gmail.com,مقهى بروهيميان,حلقة نقاشية,النثر الغير خيالي,المنطقة الشرقية,الخبر,فعالية,اثنينية بروج,فلسفة الجمال في سلوكيات البشر المختلفة,09/18/2023,8:00م,09/18/2023,10:00م,"سلطان الدوسري
أسامة ابوحواس",https://www.instagram.com/reel/CxWVE3AICFu/?igshid=MTc4MmM1YmI2Ng==
brewhemiancoffee@gmail.com,مقهى بروهيميان,حلقة نقاشية,الدراسات,المنطقة الشرقية,الخبر,فعالية,أشكال التلقي للتراث الأدبي اليوناني/ التثاقف مع الغير,استضافة الدكتور سليمان الناصر ومناقشة التراث الأدبي,09/29/2023,8:00م,09/29/2023,10:00م,الدكتور/ سليمان الناصر,https://drive.google.com/file/d/1AmJvsjqZr7BUfOvlHmeYt55jfd_04IA9/view?usp=drive_link
brewhemiancoffee@gmail.com,مقهى بروهيميان,حلقة نقاشية,النثر الغير خيالي,المنطقة الشرقية,الخبر,فعالية,اثنينية بروج,هل لفلسفة الفن والجمال والأدب لغة موحدة؟,10/30/2023,8:00م,10/30/2023,10:00م,سلطان الدوسري,https://drive.google.com/drive/folders/1SuZ1LFLm7s3kMy-Nke3OuXMTKiMdUUrf?usp=drive_link
beehivespacekh@gmail.com,مقهى بيهايف,محاضرة,الشعر,الرياض,الخرج,فعالية,أكتب قصتي,أكتب قصتي,10/11/2023,8:00م,10/11/2023,10:00م,فريق بيهايف,https://drive.google.com/drive/folders/1BlxbSyKCRc57b0eZFnr_YiucH2LF5KpE?usp=drive_link
info@tashkeell.sa,مقهى تشكيل,جلسة حوارية,الأدب المصور,الرياض,الرياض,فعالية,كان ياما كان,مناقشة كتاب وحفل توقيع وأساسيات ظهور الكاتب إعلاميًا,09/19/2023,8:00م,09/19/2023,10:00م,جمعية انسان,
info@tashkeell.sa,مقهى تشكيل,جلسة حوارية,الشعر,الرياض,الرياض,فعالية,الادب بلغة الاشارة,تناقش الرئيس التنفيذي لهيئة فنون العمارة والتصميم تجربتها الثقافية والأدبية وابعاد الكتابة الإبداعية,09/22/2023,8:00م,09/22/2023,10:00م,جمعية السعودية للاعاقة السمعية,
info@tashkeell.sa,مقهى تشكيل,-,-,الرياض,الرياض,مساهمة,مستشفى الملك عبدالله التخصصي,-,09/25/2023,8:00م,09/25/2023,10:00م,-,
info@tashkeell.sa,مقهى تشكيل,حلقة نقاشية,الشعر,الرياض,الرياض,فعالية,عن اللغة والهوية,يأخذنا الدكتور علي النملة الوزير السابق لوزارة العمل والشؤون الاجتماعية والأستاذ في جامعة الإمام محمد بن سعود الإسلامية في حديث حول اللغة والهوية العربية.,11/20/2023,8:00م,11/20/2023,10:00م,علي النملة,https://x.com/TashkeellCafe/status/1726676521056928032?s=20
algady0@gmail.com,مقهى حبر,شعر,نبطي,المدينة المنورة,المدينة المنورة,فعالية,السياق اللغوي مفهومه وأهميته,,12/18/2023,8:00م,12/18/2023,10:00م,سلطان طاسجي,https://drive.google.com/drive/folders/1pCwdusi3nsOp_R_56B1PxeomJfGBLBrM?usp=drive_link
algady0@gmail.com,مقهى حبر,شعر,نبطي,المدينة المنورة,المدينة المنورة,فعالية,جلسة حوارية - الشعر الدمشقي,,1/4/2024,8:00م,1/4/2024,10:00م,هيثم المخللاتي,https://drive.google.com/drive/folders/1r7i5qt-c4QUs3BZDmZKZvwBij-VWlPXi?usp=drive_link
algady0@gmail.com,مقهى حبر,شعر,نبطي,المدينة المنورة,المدينة المنورة,فعالية,المجلات الادبية والملاحق الثقافية,,3/10/2024,8:00م,3/10/2024,10:00م,صالح الحسيني,https://drive.google.com/drive/folders/1pG4Qb-jEDzDxm-NmVLVyDky7oFH-m8ME?usp=drive_link
algady0@gmail.com,مقهى حبر,-,-,المدينة المنورة,المدينة المنورة,مساهمة,اليوم العالمي لكتاب,-,04/30/2024,8:00م,04/30/2024,10:00م,اليوم العالمي لكتاب,https://drive.google.com/drive/folders/1zhZPpOkknVdjnv00-fdkLaHnEgYuOWDa?usp=drive_link
algady0@gmail.com,مقهى حبر,شعر,نبطي,المدينة المنورة,المدينة المنورة,فعالية,عيد وأدب,,04/30/2024,8:00م,04/30/2024,10:00م,أ.سماح الخطيب,https://drive.google.com/drive/folders/1neRhWwX44FOyqfftgBf4yKQAZoS2pUK6?usp=drive_link
aalting@live.com,مقهى ذا هوب,جلسة حوارية,النثر الغير خيالي,الشرقية,الخبر,فعالية,توزيعات الاحتفاء باليوم العالمي للترجمة,-,10/30/2023,8:00م,10/30/2023,10:00م,ذاهب,https://drive.google.com/drive/folders/1mjEI08fnFXxiDWXaFbk03c14w8v-O_ax?usp=sharing
aalting@live.com,مقهى ذا هوب,جلسة حوارية,الشعر,الشرقية,الخبر,فعالية,توزيعات الاحتفاء باليوم العالمي للترجمة,-,10/29/2023,8:00م,10/29/2023,10:00م,طلاب جامعة الامام عبدالرحمن بن فيصل,https://drive.google.com/drive/folders/1mjEI08fnFXxiDWXaFbk03c14w8v-O_ax?usp=sharing
recipeksa.partner@gmail.com,مقهى ريسيبي,-,-,الرياض,الرياض,مساهمة,توزيع قصص على الأطفال,يتم زيارة قسم التنويم (الأطفال) وتوزيع باقة من القصص على الأطفال من باب المساهمة المجتمعية وكذلك تشجيعهم على القراءة وإدخال لسرور عليهم,01/28/2024,8:00م,01/28/2024,10:00م,-,https://drive.google.com/drive/folders/1oj3mydvCrEHKcvnIgb-yn6cUr6vRFUk3
recipeksa.partner@gmail.com,مقهى ريسيبي,-,-,الرياض,الرياض,مساهمة,مسابقة مصاحبة لرحلة الأدب,مسابقة داخليه في ريسيبي كافيه موجهه للحضور، ومن خلال مشاركتهم يتم توزيع مجموعات قصصية من مؤلفات سماح ملهي,03/27/2024,8:00م,03/27/2024,10:00م,_,https://drive.google.com/drive/folders/1-Paqkn1dT1-n_7tAFALI637L4oMEc_2v
Marketing2@ratio.sa,مقهى ريشيو,جلسة حوارية,النثر الغير خيالي,الشرقية,الدمام,فعالية,حكايا تزور,بالتعاون مع مكتبة حكايا الأطفال واليافعين والتي تقدم فعالية قصص للأطفال وانشطة,1/11/2024,8:00م,1/11/2024,10:00م,مكتبة حكايا,https://firebasestorage.googleapis.com/v0/b/domais-events-management.appspot.com/o/users%2FOma1dyWliBhLrRAvH1KPVpmSOGg1%2Fuploads%2F1705909707974000.jpeg?alt=media&token=a0f2de08-91ef-47a6-9995-6573145695f0
Marketing2@ratio.sa,مقهى ريشيو,حلقة نقاشية,الادب المصور,الغربية,مكة,فعالية,الفلسفة في موعدها تماماً,الفلسفة في تفسير المشكلات والظواهر العصرية، 🔹علاقة حاضر الإنسان بالموروث الثقافي، 🔹قيمة الإنسان في عصر الرأسمالية والتقنية المتطورة والذكاء الاصطناعي. 🔹تقدير الفن والأدب مقابل المادة والتقنية.,01/20/2024,8:00م,01/20/2024,10:00م,مالك ال فتيل,https://firebasestorage.googleapis.com/v0/b/domais-events-management.appspot.com/o/users%2FOma1dyWliBhLrRAvH1KPVpmSOGg1%2Fuploads%2F1705830527207000.jpeg?alt=media&token=c3667a53-675a-49e0-85c2-1c32332ffa5c
Marketing2@ratio.sa,مقهى ريشيو,جلسة حوارية,النثر الغير خيالي,الخبر,الخبر,فعالية,أثري الأديب بداخلك,فعالية للموظفين معلومات أثرائية في مجال الأدب والشعر,01/22/2024,8:00م,01/22/2024,10:00م,رغد عبدالله,https://firebasestorage.googleapis.com/v0/b/domais-events-management.appspot.com/o/users%2FOma1dyWliBhLrRAvH1KPVpmSOGg1%2Fuploads%2F1705917141337000.jpeg?alt=media&token=05aa34e6-7bbb-4df3-9ff1-78f553f509c5
Marketing2@ratio.sa,مقهى ريشيو,حلقة نقاشية,الادب المصور,الخبر,الخبر,فعالية,شاعراً أكون ام أديب؟,خمن الشخصية شاعر أم أديب,01/22/2024,8:00م,01/22/2024,10:00م,رغد عبدالله,https://firebasestorage.googleapis.com/v0/b/domais-events-management.appspot.com/o/users%2FOma1dyWliBhLrRAvH1KPVpmSOGg1%2Fuploads%2F1706177590927000.jpeg?alt=media&token=1c0da8b8-54ec-4fa2-bbb1-83f474f48de1
Marketing2@ratio.sa,مقهى ريشيو,حلقة نقاشية,دراسات,الرياض,الرياض,فعالية,قولاً يقال,محاضرة تحت عنوان قولاً يقال بالتعاون مع صحفية وكاتبة لطرح محاور تتضمن: - كيف نكتب ما نقوله؟ - مالفرق بين المقال الموضوعي والذاتي. - نشاط جماعي - انواع المقال؟ - نشاط فردي - هل قلت ما تود قوله؟,01/29/2024,8:00م,01/29/2024,10:00م,دلال سعود,https://firebasestorage.googleapis.com/v0/b/domais-events-management.appspot.com/o/users%2FOma1dyWliBhLrRAvH1KPVpmSOGg1%2Fuploads%2F1707029458064000.mp4?alt=media&token=15f17960-c1f3-471d-b555-8c4a5f28eeda
Marketing2@ratio.sa,مقهى ريشيو,-,-,الرياض,الرياض,مساهمة,كن شاعرا,تفعيل الشعر في الشركة ومع الموظفين,1/8/2024,8:00م,1/8/2024,10:00م,-,https://firebasestorage.googleapis.com/v0/b/domais-events-management.appspot.com/o/users%2FOma1dyWliBhLrRAvH1KPVpmSOGg1%2Fuploads%2F1704711547714000.jpeg?alt=media&token=f5bc45ad-8ef3-4e3c-b4a2-17843ccb0c28
Marketing2@ratio.sa,مقهى ريشيو,-,-,الرياض,الرياض,مساهمة,توزيع كتيب وفواصل كتب,في فعالية اقيمت في احد فروعنا تم توزيع كتيب ملاحظات بتصميم ادبي بالاضافة الى فواصل كتب للحضور,09/26/2023,8:00م,09/26/2023,10:00م,-,https://firebasestorage.googleapis.com/v0/b/domais-events-management.appspot.com/o/users%2FOma1dyWliBhLrRAvH1KPVpmSOGg1%2Fuploads%2F1703678229045000.jpeg?alt=media&token=3b466968-5c4e-490b-96c5-51b926d06c8a
Marketing2@ratio.sa,مقهى ريشيو,-,-,الرياض,الرياض,مساهمة,فواصل كتب,توزيع فواصل كتب بعبارات ادبية محفزة في فرع الطائف,9/1/2023,8:00م,9/1/2023,10:00م,-,https://firebasestorage.googleapis.com/v0/b/domais-events-management.appspot.com/o/users%2FOma1dyWliBhLrRAvH1KPVpmSOGg1%2Fuploads%2F1701600051944000.jpeg?alt=media&token=575eb896-9aed-4eb8-bd40-cf70a555d454
Marketing2@ratio.sa,مقهى ريشيو,-,-,الرياض,الرياض,مساهمة,أحجية بليغ,بالتعاون مع جمعية قرطبة للقراءة تم توزيع 150 كرت من الاحجيات الأدبية على احد فروعنا حول المملكة وهي (الفاخرية الدمام - الراكة الخبر),09/19/2023,8:00م,09/19/2023,10:00م,-,https://firebasestorage.googleapis.com/v0/b/domais-events-management.appspot.com/o/users%2FOma1dyWliBhLrRAvH1KPVpmSOGg1%2Fuploads%2F1703140687199000.jpeg?alt=media&token=5906b438-bf47-4781-b04c-6ee492c368a5
sarmadii.sa0@gmail.com,مقهى سرمدي,-,-,جازان,جازان,مساهمة,مكتبة,مكتبة تهدف الى القراءة,09/17/2023,8:00م,09/17/2023,10:00م,فاطمه علي - عبدالعزيز طياش,https://youtube.com/shorts/IFQlArvDupE?si=jkVvRqb00sYsLJQt
info@sekkat-alkaif.com,مقهى سكة الكيف,جلسة حوارية,النثر الغير خيالي,المنطقة الشرقية,الدمام,فعالية,أمسية شعرية وطنية,أديم الأنصاري - زهراء الشوكاني - عبدالمحسن الشهري - عبدالوهاب الفارس - هدى المبارك,09/23/2023,8:00م,09/23/2023,10:00م,عبدالعزيز السويدان,https://we.tl/t-6aM2iBi4yI
info@sekkat-alkaif.com,مقهى سكة الكيف,جلسة حوارية,ادب الأطفال واليافعين,المنطقة الشرقية,الدمام,فعالية,بقلم سعودي,استضافة كاتب سعودي للتعريف بمؤلفاته واستعراض محتواها,09/19/2023,8:00م,09/19/2023,10:00م,عبدالوهاب النامي,https://we.tl/t-4F3uDuNsam
info@sekkat-alkaif.com,مقهى سكة الكيف,-,-,المنطقة الشرقية,الدمام,مساهمة,قهوة وحرف,إقامة ركن مكتبة في المقهى دائم,09/30/2023,8:00م,09/30/2023,10:00م,-,https://we.tl/t-O4bdcjCXct
info@sekkat-alkaif.com,مقهى سكة الكيف,-,-,المنطقة الشرقية,الدمام,مساهمة,نحلم ونحقق,الاحتفاء باليوم الوطني السعودي عن طريق توزيع فاصل كتاب وهديه متعلقة باليوم الوطني,09/23/2023,8:00م,09/23/2023,10:00م,-,https://we.tl/t-KrHqcCNUNp
info@sekkat-alkaif.com,مقهى سكة الكيف,جلسة حوارية,النثر الغير خيالي,المنطقة الشرقية,الدمام,فعالية,نادي الكتاب,"مناقشة كتاب الشهر بعنوان ""حياتي"" لأحمد أمين",10/28/2023,8:00م,10/28/2023,10:00م,عبدالعزيز السويدان,https://drive.google.com/drive/folders/1qpTCY4qXo4k1iOVidrL_Q2xavCHH2Gdh?usp=drive_link
info@sekkat-alkaif.com,مقهى سكة الكيف,جلسة حوارية,ادب الأطفال واليافعين,المنطقة الشرقية,الدمام,فعالية,معارض الكتب,يحدثنا الضيف عن كيفية الاستفادة من معارض الكتب- مع استعراض شيء من تجاربه,10/17/2023,8:00م,10/17/2023,10:00م,عبدالملك العواثم,https://drive.google.com/drive/folders/13kOajjYO39geVFzo1AZjbyiqXL5ll-gd?usp=drive_link
info@sekkat-alkaif.com,مقهى سكة الكيف,-,-,المنطقة الشرقية,الدمام,مساهمة,أدب وفن,يشارك زوار المقهى في اكمال رسمة والتي تتضمن عبارة ادبية,10/1/2023,8:00م,10/1/2023,10:00م,-,https://we.tl/t-UDZfySKyaw
info@sekkat-alkaif.com,مقهى سكة الكيف,-,-,المنطقة الشرقية,الدمام,مساهمة,أديب السكة,يشارك زوار المقهى أجمل العبارات الادبية عن القهوة و الأدب ويتم عرض أجمل العبارات داخل المقهى,10/1/2023,8:00م,10/1/2023,10:00م,-,https://we.tl/t-Lb7denmk8v
sharik.cafe-khb@sharik-hub.com,مقهى شارك,جلسة حوارية,النثر الخيالي,الرياض,الرياض,فعالية,تدشين كتاب في عنوان القهةه,تدشين كتاب في عنوان القهةه,09/16/2023,8:00م,09/16/2023,10:00م,علي الديواني,https://drive.google.com/drive/u/0/folders/11cpAuPq1UNgsOemLABWWHnbWjGbmGNG5
sharik.cafe-khb@sharik-hub.com,مقهى شارك,-,-,الرياض,الرياض,مساهمة,معرض تبادل الكتب المستعملة ,-,09/30/2023,8:00م,09/30/2023,10:00م,نادي اقرأني,https://drive.google.com/drive/u/1/folders/176MWXSc_SBm6LWAHI2S8uEhTecHYOp3j
sharik.cafe-khb@sharik-hub.com,مقهى شارك,-,-,الرياض,الرياض,مساهمة,اصنع لكتابك جناحين,لإثراء البيئة الثقافية في شارك كافية ولاحياء مكتبة المقهى نسعى في هذه المساهمة أن نجعل الكتب تحلق وتطير بين الناس حيث أن القارئ يضع كتاب في المكتبة ويأخذ مكانه كتابًا آخر,02/28/2024,8:00م,02/28/2024,10:00م,,
t90pls@gmail.com,مقهى شاي التسعين,جلسة حوارية,النثر الخيالي,المنطقة الشرقية,حفر الباطن,فعالية,الحيل النفسية للقاريء,تنمية عقلية للمفكر المبتديء وكيفية القراءة ولماذا يقرأ وكيف يقرأ القاريء بما أن الناس قد أقبلوا على القراءه حقاً علينا توضيح طرق القراءة السريعة والبصرية وأنواع القراءات وهل يلزم للقاريء الحفظ أو مايلزم,9/12/2023,8:00م,9/12/2023,10:00م,المستشار والاديب خالد الوهبي,https://drive.google.com/file/d/1XOwaOrwmVBYc_N0b2Fj9Q5NFF_vQ3BFX/view?pli=1
sophia.alriyadh@gmail.com,مقهى صوفيا,-,-,الرياض,الرياض,مساهمة,توقيع اصدارات,توقيع اصدارات,02/28/2024,8:00م,02/28/2024,10:00م,,
saleh6290@gmail.com,مقهى قافية,جلسة حوارية,النثر الغير خيالي,الحدود الشمالية,عرعر,فعالية,"فيزياء الحب ""قصائد حب مختارة""",الشاعر محمد يعقوب فيزيائي بالفطرة في عالم الحرف وغزل الكلمات وكأنه يطوع قانون,10/30/2023,8:00م,10/30/2023,10:00م,محمد إبراهيم يعقوب,https://drive.google.com/drive/folders/1dUOeozN63zGAmFo1pSZAft73mLAYY_eR?usp=drive_link
saleh6290@gmail.com,مقهى قافية,جلسة حوارية,النثر الغير خيالي,الحدود الشمالية,عرعر,فعالية,بلاغة الإعاقة: من التحديق إلى التأرجح,"معالجة إبداع المكفوفين في حقلي الفن التشكيلي والشعر، في ثلاثة محاور رئيسة:
- كيفية ظهور التحديق في تجربة الفنانة التشكيلية السعودية نورة الحمود.
- كيفية ظهور التأرجح في تجربة الشاعر الكويتي صقر الشبيب.
- تركيب بين التحديق والتأرجح، وتحديد آثار ذلك.",10/31/2023,8:00م,10/31/2023,10:00م,معجب العدواني,https://drive.google.com/file/d/18DzJO-AGmtjEydKCljKrKrqo6vcwJZt_/view?usp=drive_link
saleh6290@gmail.com,مقهى قافية,-,-,الحدود الشمالية,عرعر,مساهمة,مساهمة اكواب عام الابل,-,02/21/2024,8:00م,02/21/2024,10:00م,-,https://drive.google.com/drive/folders/1-haJoUAkrhI-ZnJNQpi6wdxBMkFnlanP?usp=drive_link
saleh6290@gmail.com,مقهى قافية,-,-,الحدود الشمالية,عرعر,مساهمة,توقيع كتاب الضجيج المبهج,-,02/22/2024,8:00م,02/22/2024,10:00م,-,https://drive.google.com/drive/folders/1-aqncCiBXrg4DyuDulYyOVRFNTcVm20B?usp=drive_link
saleh6290@gmail.com,مقهى قافية,-,-,الحدود الشمالية,عرعر,مساهمة,مساهمة توقيع كتاب هدى عبدالعزيز,-,02/15/2024,8:00م,02/15/2024,10:00م,-,https://drive.google.com/drive/folders/1-YsheThIiNPilNGHosGibCJP4xfUA36j?usp=drive_link
mona_alhowidi@hotmail.com,مقهى قروث,شعر,نبطي,تبوك,تبوك,فعالية,صحيفة قروث,مقالات كتاب قروث في اول ظهور لهم,10/31/2023,8:00م,10/31/2023,10:00م,منى الهويدي,التوثيق
mona_alhowidi@hotmail.com,مقهى قروث,جلسة حوارية,النثر الغير خيالي,تبوك,تبوك,فعالية,صوفيولوجيا,الكتابة هي التدفق اللامحدود للأنفاس والتشكل العطري لوعي لا ينصاع للقوالب ولا يحتمل سوى البوح الشاسع المسكون بالمعاني الجديدة، من هنا يمكن أن تكون الكتابة لحظة ولادة جديدة وموسم فرح جديد,10/15/2023,8:00م,10/15/2023,10:00م,د.نايف الجهني,التوثيق
mona_alhowidi@hotmail.com,مقهى قروث,جلسة حوارية,الشعر,تبوك,تبوك,فعالية,مقال مابين الفلسفة والادب,تعزيزا لدورنا كشريك ادبي نقدم هذه المقالة بقلم سراب النهار.. يقال ان الأدب والفلسفة يسيران جنبًا إلى جنب، يقوداننا إلى الوجهة نفسها، وهذا صحيح لأن الأدب والفلسفة يتشاركان في العديد من الأفكار والمفاهيم,11/29/2023,8:00م,11/29/2023,10:00م,سراب النهار,https://x.com/growthcaffe/status/1730208751829897610?s=46&t=E4-yccN-3KyD7mD3JFdehw
mona_alhowidi@hotmail.com,مقهى قروث,-,-,تبوك,تبوك,مساهمة,وقوفا على الادب,حوار حول الادب العربي من العصر الجاهلي الى العصر الحديث ومالذي يجب على الاديب ان يعرفه من عصور وتيارات وشخصيات في كل عصر,01/25/2024,8:00م,01/25/2024,10:00م,مفلح البلوي,https://drive.google.com/drive/folders/1FGNJUBIogM2wr_IcIj8vJSiCj1zvQg4B
mona_alhowidi@hotmail.com,مقهى قروث,-,-,تبوك,تبوك,مساهمة,القراءة هي اللبنة التي تبنى بها الحضاراة,تعزير قيمة الادب والثقافة تعاونا مع منصة كلماشي للمحتوى المرئي والمقروء للحديث عما يقدمه قروث,2/1/2024,8:00م,2/1/2024,10:00م,,https://drive.google.com/drive/folders/1nWNNC_tyBiU9pedcqDyH9Zb-pHf6e2ys?usp=share_link
m.alshikh1990@gmail.com,مقهى لغة القهوة,-,-,مكة المكرمة,مكة المكرمة,مساهمة,متجر مكتوب,التعاون مع متجر مكتوب لبيع الكتب في تقديم خصم 10% لرواد المقهى,10/16/2023,8:00م,10/16/2023,10:00م,-,https://x.com/coffee_language/status/1713875195084038349?s=20
ceo@mukhmal.sa,مقهى مخمل,شعر,نبطي,جازان,جازان,فعالية,حوارات شعرية,حوارات بين الشعر والادب,09/28/2023,8:00م,09/28/2023,10:00م,ابراهيم حلواش,https://drive.google.com/drive/folders/1-m9yrvaiiqxWlwWQFpfBlDefX_Mo85iR
ceo@mukhmal.sa,مقهى مخمل,جلسة حوارية,النثر الغير خيالي,جازان,جازان,فعالية,ثقافة التطوع,,12/9/2023,8:00م,12/9/2023,10:00م,جبريل القبي,https://drive.google.com/drive/folders/1-WAuFx6h-KlEl7rMAX40EgJ6u-pJq-GS
ceo@mukhmal.sa,مقهى مخمل,جلسة حوارية,الشعر,جازان,جازان,فعالية,جلسة حوارية,الانسان و مدى معرفته بالقوانين,01/26/2024,8:00م,01/26/2024,10:00م,محمد الخثامي,https://drive.google.com/drive/folders/1-obRyIgwoPlhun7JetQ1jV42w7XHfijc
ceo@mukhmal.sa,مقهى مخمل,جلسة حوارية,النثر الغير خيالي,جازان,جازان,فعالية,جلسة حوارية ثقافة القيادة,ثقافة القيادة والادارة و نطاق الفرق بينهم,02/23/2024,8:00م,02/23/2024,10:00م,ندى فقية,https://drive.google.com/drive/folders/10iJeHW6uBcyISVUuD09RdmeJu9-MsR1Z
aminh@nawatcoffee.com,مقهى نواة,شعر,نبطي,عسير,ابها,فعالية,أمسية شعرية | الأديبة الشاعرة دلال القحطاني | سوانح الشعر النبطي,الشعرالنبطي من أكثر صور الأدب الشعبي ثراءً، كما يعتبر مرآة لواقع الحياة اليومية ، تخبرنا الشاعرة دلال القحطاني عن سوانح الشعر النبطي .,01/31/2024,8:00م,01/31/2024,10:00م,دلال القحطاني,https://drive.google.com/drive/folders/10YhH_DluAt7KS1RqF-uDtlkr7aiRkUS2
aminh@nawatcoffee.com,مقهى نواة,جلسة حوارية,النثر الغير خيالي,عسير,ابها,فعالية,"جلسة حوارية | تدشين كتاب العبور الرمادي , كتاب نقدي يدرس مقاربة فن القصة القصيرة جدا مع قصيدة النثر و يدرس المناطق المتعالقة بينهما | الكاتبة أ.أمل الشبلان | أهمية دعم الكاتب السعودي","وُلدَت اَلقِصة القصيرة جِدًّا وَقَصيدَة النَّثْر لِتتماشى مع حاجات العصْر السَّريعة ، وَفِي دِراسة نَقدِية تَضَمنهَا كِتَاب "" اَلعُبور المادِّيِّ "" لِلْكاتبة : أمل الشِّبْلان تُناقشهَا الكاتبة فِي نَوَاة التي لطالما دعمت الكاتب السُّعوديِّ .",2/10/2024,8:00م,2/10/2024,10:00م,ا.امل الشبلان,https://drive.google.com/drive/folders/10iCnzPoop6yFF8ylOPxxc6cFFvGTnE70
aminh@nawatcoffee.com,مقهى نواة,جلسة حوارية,الشعر,عسير,ابها,فعالية,جلسة حوارية |بحور فن التعليق الصوتي,لا تطرب مسامعنا بالأدبي العربي ولا تظهر جماليته إلا بالتعليق الصوتي,02/28/2024,8:00م,02/28/2024,10:00م,احمد المعيدي,https://drive.google.com/drive/folders/11H_G1LTFz-Sc8Fr-a-xP-jpPMqaRCeD7
