email,partner_name,event_type,literary,palce,city,type,title,body,start_date,start_time,end_date,end_time,,speaker,docs
sixtyonemin@gmail.com,مقهى 61 دقيقة,حلقة نقاشية,دراسات,الرياض,الرياض,فعالية,الأغتراب والهوية,مقاربة لعدد من النصوص الأدبية شعر ورواية لبحث فكرة الهوية. وهل يعيد اغترابنا تشكيل هوياتنا؟,10/14/2023,8:00 PM,10/14/2023,10:00 PM,,رزان الهاشمي و وعد عبدالقادر محمد,https://drive.google.com/drive/folders/1rilQhH_EqeYRbVn_A-sPcyWfqF0sNrHF?usp=drive_link
sixtyonemin@gmail.com,مقهى 61 دقيقة,محاضرة,الشعر,الرياض,الرياض,فعالية,أسطورة الكرم في الثقافة العربية,دراسة أدبية عن فلسفة الكرم في الثقافة والفكر العربي,10/18/2023,8:00 PM,10/18/2023,10:00 PM,,د هند المطيري,https://drive.google.com/drive/folders/1-YSyQ3C0Z-WIQwTesiakQF00BHh3J90W?usp=drive_link
sixtyonemin@gmail.com,مقهى 61 دقيقة,حلقة نقاشية,دراسات,الرياض,الرياض,مساهمة,جدد كتابك,تبادل كتب بين زوار المقهى (ضع كتابك القديم وخذ كتاب جديد),10/1/2023,8:00 PM,10/1/2023,10:00 PM,,-,https://drive.google.com/drive/folders/1lEE1Txkr4lhKe4_PeeS5Y-7rWXSQi4ob?usp=drive_link
arches.sa1@gmail.com,مقهى ارشيز,محاضرة,الدراسات,مكة المكرمة,مكة المكرمة,فعالية,جسور ثقافية,ندوة عن أهمية و دور الترجمة في فتح افاق جديدة للمتلقي,9/20/2023,8:00 PM,9/20/2023,10:00 PM,,امل العبود,0
arches.sa1@gmail.com,مقهى ارشيز,محاضرة,الدراسات,مكة المكرمة,مكة المكرمة,فعالية,كيف أكتب قصة ؟,كيفية كتابة تأسر خيال القارئ,10/13/2023,8:00 PM,10/13/2023,10:00 PM,,توفيق الغنام,0
IB@ashjarcafe.com,مقهى اشجار,محاضرة,النثر الخيالي,الرياض,الرياض,فعالية,فن الحكاية والرواية,"محاورها : ماهو فن الحكاية ومواضعه
- ماهي الرواية وعناصرها اضافة الى كتابة حبكة متكاملة لروايتك القادمة",9/28/2023,8:00 PM,9/28/2023,10:00 PM,,أ.مرام فيصل,https://www.instagram.com/p/Cx3f9FPK4u3/
IB@ashjarcafe.com,مقهى اشجار,ورشة عمل,النثر الخيالي,الرياض,الرياض,فعالية,صناعة قصة,يقوم الزائر بتأليف قصه قصيره وصنع كتاب من الورق وكتابة القصه فيه ودعم القصه بالرسومات والقصاصات الفنية,9/21/2023,8:00 PM,9/21/2023,10:00 PM,,أ.المها سعود,https://www.instagram.com/p/Cx3f9FPK4u3/
IB@ashjarcafe.com,مقهى اشجار,محاضرة,النثر الغير خيالي,الرياض,الرياض,فعالية,ما هو مفهوم الأدب ؟,أهمية الأدب وأنواعه وعناصره وما حاجة الأدب للنقد,9/23/2023,8:00 PM,9/23/2023,10:00 PM,,أ.يسرا,https://www.instagram.com/p/Cx5rIJfIp8i/
IB@ashjarcafe.com,مقهى اشجار,جلسة حوارية,النثر الغير خيالي,الرياض,الرياض,مساهمة,مكتبة,,9/1/2023,8:00 PM,9/1/2023,10:00 PM,,,https://www.instagram.com/reel/CxvRquPIxv6/
IB@ashjarcafe.com,مقهى اشجار,حلقة نقاشية,الشعر,الرياض,الرياض,فعالية,ملتقى نادي كتابي الثقافي,"ملتقى ثقافي استباقي لمعرض الرياض الدولي للكتاب يتشكل من أوراق معرفية في دروب القراءة وآلياتها، مع فقرات عن تجارب المثقفين الكبار والمؤثرين في معارض الكتب.
يصاحب الملتقى جلسات استشارية مع متخصصين في الجانب الثقافي لمساعدة الحضور على اختيار كتبهم القادمة في المعرض ومعرفة توجهاتهم الثقافية والمعرفية في القراءة, كما يوجد فعاليات أخرى كخطاط ورسام يضفي الجانب الفني للملتقى.",9/26/2023,8:00 PM,9/26/2023,10:00 PM,,دلال العامودي,https://www.instagram.com/p/Cx3BO8yItY_/?img_index=1
IB@ashjarcafe.com,مقهى اشجار,امسية شعرية,الشعر,الرياض,الرياض,فعالية,ملتقى نادي كتابي الثقافي,ملتقى ثقافي استباقي لمعرض الرياض الدولي للكتاب يتشكل من أوراق معرفية في دروب القراءة وآلياتها، مع فقرات عن تجارب المثقفين الكبار والمؤثرين في معارض الكتب.,9/27/2023,8:00 PM,9/27/2023,10:00 PM,,عبدالله الانصاري,https://www.instagram.com/p/Cx3BO8yItY_/?img_index=1
IB@ashjarcafe.com,مقهى اشجار,جلسة حوارية,النثر الغير خيالي,الرياض,الرياض,فعالية,مناقشة شعرية متنوعة,"يصاحب الملتقى جلسات استشارية مع متخصصين في الجانب الثقافي لمساعدة الحضور على اختيار كتبهم القادمة في المعرض ومعرفة توجهاتهم الثقافية والمعرفية في القراءة, كما يوجد فعاليات أخرى كخطاط ورسام يضفي الجانب الفني للملتقى.",9/15/2023,8:00 PM,9/15/2023,10:00 PM,,أ.عبدالسلام الفريج,https://www.instagram.com/p/CxqMR5boWsy/
IB@ashjarcafe.com,مقهى اشجار,جلسة حوارية,النثر الخيالي,الرياض,الرياض,فعالية,ليله من ليالي الفصحى الحالمه,مجموعه من الاشعار الفصحى القصيره ، والنصوص الادبيه .,9/21/2023,8:00 PM,9/21/2023,10:00 PM,,أحلام القاسم,https://drive.google.com/drive/folders/1BVepktQ-ycP10foi7N2q3lpUHMKo1YnZ?usp=drive_link
IB@ashjarcafe.com,مقهى اشجار,ورشة عمل,الادب المصور,الرياض,الرياض,فعالية,مفهوم الثقافة بين الأدب والعلم,إشكالية مفهوم الثقافة ومعانيها ومساراتها في العصر الحديث,10/7/2023,8:00 PM,10/7/2023,10:00 PM,,اروى الاسطى,https://drive.google.com/drive/folders/1fNvkqNCnYTDwQwmXPd3vkMEq0ozti5kS?usp=drive_link
IB@ashjarcafe.com,مقهى اشجار,حلقة نقاشية,النثر الغير خيالي,الرياض,الرياض,فعالية,صديق من ورق,"نعيش مع صديقنا حلمه الساحر الذي رافقه منذ لحظة خروجه من المطبعة ..
ما هو هذا الحلم ؟ وهل سيتمكن من تحقيقه ياترى ؟",10/19/2023,8:00 PM,10/19/2023,10:00 PM,,ايه الأبرص,https://drive.google.com/drive/folders/1QJjDKT_MYXltmJFabkEpXAN4kPTzp4WV?usp=drive_link
IB@ashjarcafe.com,مقهى اشجار,ورشة عمل,دراسات,الرياض,الرياض,فعالية,تثمير المعرفة,ورشة تتحدث عن كيفية استثمار المعارف وتحويلها إلى منتجات أدبية مثمرة قابلة للتداول والانتشارمحاور الورشة:أدبيات تثمير المعرفة - عمليات تثمير المعرفة الأدبية-ثمار المعرفة الأدبية.,10/25/2023,8:00 PM,10/25/2023,10:00 PM,,رائد العيد,https://drive.google.com/drive/folders/1qh4oQkkXUTaSjLsYvArgwKXjOf_1WZFD?usp=drive_link
IB@ashjarcafe.com,مقهى اشجار,جلسة حوارية,النثر الخيالي,الرياض,الرياض,فعالية,اكتشف فن فهم المضمون النص,نضم إلينا في أمسية خاصة لاستكشاف أسرار النصوص وتفسير أعمق للكلمات. احجز مقعدك الآن واستمتع برحلة أدبية مميزة.,10/18/2023,8:00 PM,10/18/2023,10:00 PM,,سلامة الغامدي,https://drive.google.com/drive/folders/1BVepktQ-ycP10foi7N2q3lpUHMKo1YnZ?usp=drive_link
IB@ashjarcafe.com,مقهى اشجار,ورشة عمل,الادب المصور,الرياض,الرياض,فعالية,مراحل التأليف والنشرالتجربة الشخصية والخيارات المتاحة,ورشة تساعد في معرفة مراحل التأاليف والنشر للكاتب,10/11/2023,8:00 PM,10/11/2023,10:00 PM,,عمر العبداللطيف,https://drive.google.com/drive/folders/1OE5HwYjCm228TtAKqQUoCM-pkDJL3ZPW?usp=drive_link
IB@ashjarcafe.com,مقهى اشجار,حلقة نقاشية,النثر الغير خيالي,الرياض,الرياض,مساهمة,مكتبة,مساهمة داخلية مكتبة متواجدة في داخل مساحة العمل,10/11/2023,8:00 PM,10/11/2023,10:00 PM,,,https://www.instagram.com/reel/CxvRquPIxv6/
IB@ashjarcafe.com,مقهى اشجار,ورشة عمل,دراسات,الرياض,الرياض,مساهمة,فواصل كتب,مساهمة داخلية توزيع فواصل كتب في الفعاليات,10/1/2023,8:00 PM,10/1/2023,10:00 PM,,,https://drive.google.com/drive/folders/1uIhSj6Hijkwij7NsIepXssBxzP-xi94T
IB@ashjarcafe.com,مقهى اشجار,حلقة نقاشية,النثر الغير خيالي,الرياض,الرياض,مساهمة,فواصل كتب,يرتبط الكتاب بالقهوة دائما لذا نهديك في أشجار كافية فاصل كتاب يليق بكم,11/1/2023,8:00 PM,11/1/2023,10:00 PM,,,https://drive.google.com/drive/folders/1uIhSj6Hijkwij7NsIepXssBxzP-xi94T
IB@ashjarcafe.com,مقهى اشجار,ورشة عمل,دراسات,الرياض,الرياض,مساهمة,مكتبة,القراءة حلية الفؤاد والفكر احتفاءً بالكتب والقراءة خصصنا في مساحة أشجار زاوية مكتبية أدبية لكل قارئ شغوف,11/1/2023,8:00 PM,11/1/2023,10:00 PM,,,https://drive.google.com/drive/folders/1z_jhS3ecog4PXhFh0rj_EjDyxTsHQE-o
nawafkz9.df@gmail.com,مقهى الأخشاب النائمة,محاضرة,النثر الغير خيالي,مكة المكرمة,الطائف,مساهمة,ثلوثية ادبية  الجزء الاول,تهدف الى استضافة الادباء بمدينة الطائف بشكل اسبوعي كل يوم ثلاثاء بحيث يتم تبادل الخبرات والمعارف والنقاش تحت ظل اجواء لطيفة ومحفزة وداعمة,9/12/2023,8:00 PM,9/12/2023,10:00 PM,,-,0
ix.oclock.cafe@gmail.com,مقهى الساعة التاسعة,أمسية شعرية,الشعر,الجوف,سكاكا,فعالية,امسية شعرية,اثراء المشهد الثقافي والمعرفي لدى المتلقي,9/4/2023,8:00 PM,9/4/2023,10:00 PM,,عبدالعزيز البخيت,https://x.com/ixocafe/status/1697954860266569919?s=48&t=M5KpyYmpURoPOAQrCaFc6Q
ix.oclock.cafe@gmail.com,مقهى الساعة التاسعة,جلسة حوارية,الدراسات,الجوف,سكاكا,فعالية,الكتابة الأدبية (رمز غير قابل للاستبدال),التعرف على مهارات الكتابة الأدبية ومعرفة ماللاديب من حقوق,9/12/2023,8:00 PM,9/12/2023,10:00 PM,,محمد اللويش,https://x.com/ixocafe/status/1700133742465970329?s=48&t=M5KpyYmpURoPOAQrCaFc6Q
ix.oclock.cafe@gmail.com,مقهى الساعة التاسعة,حلقة نقاشية,النثر الغير خيالي,الجوف,سكاكا,فعالية,سيرة راحل,الحديث عن سيرة الاديب الراحل إبراهيم السطام أحد رموز منطقة الجوف,9/18/2023,8:00 PM,9/18/2023,10:00 PM,,أيمن السطام,https://x.com/ixocafe/status/1703167104541975019?s=48&t=M5KpyYmpURoPOAQrCaFc6Q
ix.oclock.cafe@gmail.com,مقهى الساعة التاسعة,حلقة نقاشية,النثر الغير خيالي,الجوف,سكاكا,فعالية,روح وانتماء,تعزيز أهمية اللغة والثقافة كونها وسيلة التواصل بين الشعوب,9/23/2023,8:00 PM,9/23/2023,10:00 PM,,عبدالله الحسني,https://x.com/ixocafe/status/1704968078956658983?s=48&t=M5KpyYmpURoPOAQrCaFc6Q
ix.oclock.cafe@gmail.com,مقهى الساعة التاسعة,حلقة نقاشية,النثر الغير خيالي,الجوف,سكاكا,مساهمة,مساهمة اليوم الوطني السعودي93 نحلم ونحقق,مساهمة اليوم الوطني السعودي93 نحلم ونحقق,9/23/2023,8:00 PM,9/23/2023,10:00 PM,,,https://drive.google.com/drive/folders/1LjbDfrwzfcVaxD3Wdqn48Mvhkr9Xc9Iy
ix.oclock.cafe@gmail.com,مقهى الساعة التاسعة,جلسة حوارية,الدراسات,الجوف,سكاكا,فعالية,التصور والحقيقة في ثقافيات المبادئ والشعارات,جلسة حوارية مع الضيف عن التصور والحقيقة في ثقافيات المبادئ والشعارات,10/10/2023,8:00 PM,10/10/2023,10:00 PM,,فالح بن شبيب العجمي,https://drive.google.com/drive/folders/1CmUFpcGRxehzE-et_-nV5UDQ3-zAaVwU?usp=drive_link
ix.oclock.cafe@gmail.com,مقهى الساعة التاسعة,حلقة نقاشية,النثر الغير خيالي,الجوف,سكاكا,فعالية,ثقافة القيم والعادات المجتمعية من منظور ادبي,الحديث سيكون عن أهمية العلاقة بين الثقافة والقيم حيث ان الثقافة تلعب دوراً مهما في تشكيل المجتمع,10/17/2023,8:00 PM,10/17/2023,10:00 PM,,د.مرزوق بن تنباك,https://drive.google.com/drive/folders/1NSNDfg3EcHcphgDNgnSaFslfuc5CITqb?usp=drive_link
ix.oclock.cafe@gmail.com,مقهى الساعة التاسعة,حلقة نقاشية,النثر الغير خيالي,الجوف,سكاكا,فعالية,تداخل الأجناس الأدبية,جلسة حوارية مع الضيف عن تداخل الأجناس الأدبية,10/31/2023,8:00 PM,10/31/2023,10:00 PM,,د.طامي بن دغليب الشمراني,https://drive.google.com/drive/folders/1chgODejMnBPVK9K1eKVbxMtnlMyvYGx8?usp=drive_link
ix.oclock.cafe@gmail.com,مقهى الساعة التاسعة,حلقة نقاشية,النثر الغير خيالي,الجوف,سكاكا,مساهمة,فواصل كتب لابرز الادباء في السعودية,فواصل كتب لبعض الادباء السعوددين,10/1/2023,8:00 PM,10/1/2023,10:00 PM,,-,https://drive.google.com/drive/folders/1vdnBK-DxZ3sn8l92zXZ0MJk02a5LhHI8?usp=drive_link
nadaalqahtani@alsaqeefa.com,مقهى السقيفة,حلقة نقاشية,دراسات,الشرقية,الخبر,فعالية,التراث الوطني في الأدب,التراث الوطني في الأدب,9/21/2023,8:00 PM,9/21/2023,10:00 PM,,علي أبو نصار,https://drive.google.com/drive/folders/1NmHbjDnKRJ6WPYiPQv-DljYRuDANVVhV
nadaalqahtani@alsaqeefa.com,مقهى السقيفة,جلسة حوارية,النثر الغير خيالي,الرياض,الرياض,فعالية,تأثيرالأدب في حياتنا,تأثيرالأدب في حياتنا,9/27/2023,8:00 PM,9/27/2023,10:00 PM,,ايما الشهري,https://drive.google.com/drive/folders/1fMOTXxmS4CljA0S-5R4SBr8PNQ9cKinR
nadaalqahtani@alsaqeefa.com,مقهى السقيفة,جلسة حوارية,النثر الغير خيالي,الرياض,الرياض,فعالية,الترجمة التطوعية الأدبية,الترجمة التطوعية الأدبية,9/30/2023,8:00 PM,9/30/2023,10:00 PM,,مشروع أقصوصة (هناء القحطاني - أمل المانع),https://drive.google.com/drive/folders/19IswqNdD7T8QkCdnsedtdaryakzIx4lF
nadaalqahtani@alsaqeefa.com,مقهى السقيفة,جلسة حوارية,النثر الغير خيالي,الرياض,الرياض,فعالية,ماقبل الغلاف,قصة رحلة كتابة كتاب (الفئة المستهدفة الصغار والكبار),10/1/2023,8:00 PM,10/1/2023,10:00 PM,,عبدالله رافعه,https://drive.google.com/drive/folders/1XrSF7bky_XQFwY2bvCy2JYJKw0ZyTZoR?usp=drive_link
nadaalqahtani@alsaqeefa.com,مقهى السقيفة,جلسة حوارية,النثر الغير خيالي,الرياض,الرياض,فعالية,كيف أثّر الفلك على الأدب العربي,أمسية حوارية ثقافية حول الأدب العربي وكيف عرف العرب قديمًا الكثير عن علم الفلك لدرجة أن هذه المعرفة انعكست على أشعارهم وأوصافهم.,10/10/2023,8:00 PM,10/10/2023,10:00 PM,,مهدي السليمان,https://drive.google.com/drive/folders/1Twn-ykT9v0OFcIiFYVqThmJIesCWC0GP?usp=drive_link
nadaalqahtani@alsaqeefa.com,مقهى السقيفة,جلسة حوارية,النثر الغير خيالي,الرياض,الرياض,فعالية,الكتابة على الكتابة فن مراجعة الكتب,ورشة تدريبية للتعرف على عالم مراجعة الكتب وأهم أنواعها ومجالاتها ومناقشة الكتب الأدبية المهمة في هذا السياق.,10/11/2023,8:00 PM,10/11/2023,10:00 PM,,رائد العيد,https://drive.google.com/drive/folders/1yJo9wMr0PZ97uy1yZAuTIVcb5SFtCnun?usp=drive_link
nadaalqahtani@alsaqeefa.com,مقهى السقيفة,ورشة عمل,النثر الغير خيالي,الرياض,الرياض,فعالية,ورشة عمل: كتابة القصص الأدبية,ورشة التدريب على كتابة القصة بمجموعة من الخطوات العملية.,10/15/2023,8:00 PM,10/15/2023,10:00 PM,,وسيم الشاعر,https://drive.google.com/drive/folders/1pvyrBDtVuBHb4S_hHABVPopkmsvb_vLQ?usp=drive_link
nadaalqahtani@alsaqeefa.com,مقهى السقيفة,جلسة حوارية,النثر الغير خيالي,الرياض,الرياض,فعالية,المشاهفة والكتابة في كتاب (قضايا نقدية ما بعد بنيوية),"استضافة يناقش من خلالها:
- تعريف بما بعد البنيوية فلسفيًا
- أولوية المشافهة على الكتابة
- معنى الكتابة عند جاك دريدا وميجان الرويلي
- استشكالات ونقد",10/22/2023,8:00 PM,10/22/2023,10:00 PM,,د. عبدالله المطيري رئيس جمعية الفلسفة - بتنظيم منصة بروج الثقافة,https://drive.google.com/drive/folders/15NdsUaP2DdWr-FfU5Zmv_tQDDUzruB_3?usp=drive_link
nadaalqahtani@alsaqeefa.com,مقهى السقيفة,حلقة نقاشية,النثر الغير خيالي,الرياض,الرياض,فعالية,استضافة نادي كتاب (نادي سطور الأدبي),مناقشة رواية وشائج ماء للمؤلف عبده خال,10/24/2023,8:00 PM,10/24/2023,10:00 PM,,أمل القحطاني (نادي سطور الأدبي),https://drive.google.com/drive/folders/10w42AN2w2w9tKSISAu34Bd3L5iSFn_8i?usp=drive_link
nadaalqahtani@alsaqeefa.com,مقهى السقيفة,حلقة نقاشية,دراسات,الشرقية,الخبر,فعالية,أحدية الرياض,السعادة عند العوام والعلوم والفلاسفة عرض تقديمي نناقش فيها إرادة السعادة وأرجوحة السعادة والسعادة تحت الجلد,10/6/2023,8:00 PM,10/6/2023,10:00 PM,,"عضو في بروج
ثاني التركي",https://drive.google.com/drive/folders/11dCFgfNLmZCgAKx1cpu_bzMtZhbNkU_2?usp=drive_link
nadaalqahtani@alsaqeefa.com,مقهى السقيفة,حلقة نقاشية,دراسات,الشرقية,الرياض,مساهمة,لوحة إقتباسات أدبية,ملصقات مميزة تحمل اقتباسات أدبية ملهمة من أعمال أدبية بارزة، كجزء من مبادرة الشريك الأدبي، سيتم توزيع هذه الملصقات على زوار السقيفة في الرياض لنشاركهم جمالية الأدب والثقافة.,10/15/2023,8:00 PM,10/15/2023,10:00 PM,,,https://drive.google.com/drive/folders/11OGnbSw4WZcb92RktztmwqW1qalpnigM?usp=drive_link
alking027@hotmail.com,مقهى اليقنت,أمسية شعرية,ادب الاطفال واليافعين,الجوف,سكاكا الجوف,فعالية,ادب الاطفال واليافعين,الادب المصور بالفن المرسوم والكتابه,10/3/2023,8:00 PM,10/3/2023,10:00 PM,,روضة منهاج الرسالة الاهلية,https://drive.google.com/drive/folders/1wPm0GkgESMAaHLRofz6nTR8a_4uXEGUJ?usp=drive_link
alking027@hotmail.com,مقهى اليقنت,جلسة حوارية,دراسات,الجوف,سكاكا الجوف,فعالية,ادب الاطفال واليافعين,الشاعر الصغير الملهم,10/5/2023,8:00 PM,10/5/2023,10:00 PM,,رياض ومدارس التجديد الاهلية,https://drive.google.com/drive/folders/1euEBidkas7S0Mrmicrd_ebEfg2IrsTkV?usp=drive_link
alking027@hotmail.com,مقهى اليقنت,جلسة حوارية,دراسات,الجوف,سكاكا الجوف,فعالية,جلسة حوارية عن الدور الثقافي للجامعات الواقع والمأمول,جلسة حوارية عن الحضارة ومدى عمقها في التاريخ,10/29/2023,8:00 PM,10/29/2023,10:00 PM,,د. خليل بن ابراهيم المعيقل البراهيم,https://drive.google.com/drive/folders/1sTgQEQw_vVYHMZIV_CSY8GY-GvxreGZI?usp=drive_link
antiquecofe100@gmail.com,مقهى انتيك,حلقة نقاشية,الادب المصور,مكة المكرمة,مكة,فعالية,مناقشة كتاب ايكيغاي,تثقيف الحضور بأهمية القراءة و تحديد الأهداف,9/27/2023,8:00 PM,9/27/2023,10:00 PM,,علي محمد هوساوي,https://drive.google.com/drive/folders/1edI0VHWFtfGY10m7ifacltd0ywvGnOgk?usp=drive_link
antiquecofe100@gmail.com,مقهى انتيك,حلقة نقاشية,النثر الغير خيالي,مكة المكرمة,مكة,فعالية,الادب القوطي و أدب ما وراء الطبيعة,شرح المراحل التاريخية للادب القوطي و ما وراء الطبيعة,9/20/2023,8:00 PM,9/20/2023,10:00 PM,,رهام الشدوي,https://drive.google.com/drive/folders/1TF2aDNxBCWdNDGJkx7ZWIq8Luo-Xh4bo?usp=drive_link
antiquecofe100@gmail.com,مقهى انتيك,حلقة نقاشية,النثر الغير خيالي,مكة المكرمة,مكة,فعالية,الادب السوفيتي ( اشهر أقوال دوستويفسكي العميقة ),نبذة عن الادبي الروسي و أشهر الاقوال والملفات - مناقشة عامة,10/17/2023,8:00 PM,10/17/2023,10:00 PM,,د. عبد الحميد إبراهيم زبرماوي,https://drive.google.com/drive/folders/1lH7_6jvlFvgq2lXHgpzpd7E6g7LoKCMO?usp=drive_link
antiquecofe100@gmail.com,مقهى انتيك,حلقة نقاشية,دراسات,مكة المكرمة,مكة,فعالية,تغذية الخيال للإبداع الأدبي والكتابة,التساؤل كأداة لتقبل التغيير والاندماج في الحياة والحاضر والمستقبل,10/19/2023,8:00 PM,10/19/2023,10:00 PM,,أ . محمد المكي,https://drive.google.com/drive/folders/1BLs3YsGUDbetFgPP7bV5ilZCgT3PNEGq?usp=drive_link
antiquecofe100@gmail.com,مقهى انتيك,حلقة نقاشية,النثر الغير خيالي,مكة المكرمة,مكة,فعالية,منقاشة كتاب أجمل المفردات الادبية في تقديم الحفلات (للكاتب بكر عبد القادر),-,10/1/2023,8:00 PM,10/1/2023,10:00 PM,,أ . بكر عبد القادر,https://drive.google.com/drive/folders/147bIyZ-5OD0-P4xY3dLlLIYXiDMxkbUW?usp=drive_link
antiquecofe100@gmail.com,مقهى انتيك,حلقة نقاشية,دراسات,مكة المكرمة,مكة,فعالية,رحلة بين الثقافات ( حضارة الانكا ),-,10/1/2023,8:00 PM,10/1/2023,10:00 PM,,عهود فلاته,https://drive.google.com/drive/folders/1O62ioX857chp_hrSUh8WeLXfjqfP8rZX?usp=drive_link
antiquecofe100@gmail.com,مقهى انتيك,حلقة نقاشية,النثر الغير خيالي,مكة المكرمة,مكة,فعالية,مناقشة رواية نسيان للأديبة و الشاعرة الجزائرية ( أحلام مستغانمي ),-,10/1/2023,8:00 PM,10/1/2023,10:00 PM,,د. عائشة بشير,https://drive.google.com/drive/folders/1gQBgdzyUWG-jQGmjOU7e2eAfkJEm3kg9?usp=drive_link
al_otaibi007@hotmail.com,مقهى انسبيريشن,ورشة عمل,النثر الخيالي,الرياض,الرياض,مساهمة,توزيع فواصل الكتب عليها عبارات ادبية,مقتطفات من كناب في فمي ماء للكاتب الاستاذ صالح المسلم وطباعتها على فواصل الكتب وتوزيعها على رواد المقهى,11/22/2023,8:00 PM,11/22/2023,10:00 PM,,-,https://firebasestorage.googleapis.com/v0/b/domais-events-management.appspot.com/o/users%2FcTTb2I4I27aMDNb15cXppHkYW542%2Fuploads%2F1701107746753000.mp4?alt=media&token=3c6deb83-c440-406b-aa79-553100c0e61d
al_otaibi007@hotmail.com,مقهى انسبيريشن,ورشة عمل,النثر الخيالي,الرياض,الرياض,فعالية,اساسيات تعلم الخط العربي,نشأة الخط العربي انواع الخطوط وافضل انواعها الطريقة الصحيحة لتعلم الخط العربي نماذج من كراسات الخط المعتبرة للرجوع اليها والاستفلدة منها,11/22/2023,8:00 PM,11/22/2023,10:00 PM,,سلطان العيسى,https://firebasestorage.googleapis.com/v0/b/domais-events-management.appspot.com/o/users%2FcTTb2I4I27aMDNb15cXppHkYW542%2Fuploads%2F1700902780577000.mp4?alt=media&token=c8eef10e-ecb8-4630-a96c-43c3d39a3080
